Frontside,Flipside,Category,Level
Welcom,Ne'ava,,0
Open,E'iva,,0
Close,Ona'eya,,0
World,Kara'ya,,0
And,A',,0
Or,E',,0
Everyone,Nana,,0
Everywhere,Unun,,0
Music,pe'anaya,,0
One Day,ju'yava,,0
This World,Kayawa,,0
My World,Vayaro,,0
In,U'a,,0
Indian,Fo'otaya,,0
From,Horo,,0
To,Ha,,0
Translate,Sa'aya,,0
Already,Yoho,,0
I Hope,ka'atami,,0
Toyo,Ma'ayna,,0
Flute,Vata'a,,0
Hello,Huwo,,0
How,Ya',,0
I,Nu',,0
Explitain,Ba'yaho,,0
This,Sa',,0
Link,Ja'ho,,0
My,Ma'ra-,,0
Nickname,Wo,,0
Is,We'-,,0
We,Naru'a,,0
Love,Me'ona,,0
A/An,Ka,,0
The,Hu,,0
Title,Leho,,0
Call,Vahana,,0
